Sample,ContigName,RelAbundance,Order,Family,crAssphage,LifeCycle,ViralCluster,CRISPRMatch,Reads,Treatment
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_2_length_6239_cov_9_622546-circular-cat_2,0.000244369,Unassigned,Unassigned,N,lytic,781_0,NA,56,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_69_length_3404_cov_1_086665-cat_2,0.000260826,Unassigned,Unassigned,N,lytic,Outlier,NA,31,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_68_length_4499_cov_1_891354-cat_1,0.000284257,Caudovirales,Siphoviridae,N,lytic,Singleton,NA,41,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_103_length_5027_cov_2_285510-cat_2,0.000300873,Unassigned,Unassigned,N,lytic,Outlier,Bacteroides,58,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_53_length_3085_cov_2_454234-cat_2,0.000301051,Unassigned,Unassigned,N,lytic,Outlier,Bacteroides,33,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_10_length_17062_cov_3_750458-cat_1,0.000316319,Caudovirales,Myoviridae,N,lytic,Outlier,NA,211,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_55_length_3831_cov_2_446274-cat_1,0.000317487,Caudovirales,Caudovirales,N,lytic,Outlier,NA,46,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_27_length_5430_cov_7_508957-circular-cat_2,0.000327581,Unassigned,Unassigned,N,lytic,Singleton,NA,75,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_98_length_4828_cov_3_070623-cat_2,0.000335343,Unassigned,Unassigned,N,lytic,Outlier,NA,59,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_3_length_3588_cov_33_931812-circular-cat_2,0.000340342,Unassigned,Unassigned,N,lytic,Singleton,NA,48,No_Phage
