ContigName,Order,Family,crAssphage,LifeCycle,ViralCluster,CRISPRHost
VIRSorter_NODE_59_length_3573_cov_2_170052-cat_1,Caudovirales,Myoviridae,N,lytic,270_0,NA
VIRSorter_NODE_50_length_3607_cov_100_839080-cat_2,Unassigned,Unassigned,N,lytic,Outlier,NA
VIRSorter_NODE_31_length_12832_cov_5_314758-cat_1,Caudovirales,Myoviridae,N,lytic,Outlier,Enterocloster
VIRSorter_NODE_171_length_3559_cov_1_846737-cat_2,Unassigned,Unassigned,N,lytic,Singleton,NA
VIRSorter_NODE_130_length_4457_cov_4_262587-cat_2,Caudovirales,Unassigned,N,lytic,Outlier,NA
VIRSorter_NODE_40_length_17724_cov_3_584645-cat_1,Caudovirales,Siphoviridae,N,lytic,Outlier,Leuconostoc
VIRSorter_NODE_10_length_21936_cov_6_281077-cat_2,Caudovirales,Siphoviridae,N,lytic,662_0,NA
VIRSorter_NODE_8_length_13852_cov_2_601894-cat_2,Caudovirales,Siphoviridae,N,lytic,Outlier,NA
VIRSorter_NODE_5_length_28054_cov_5_854370-cat_2,Caudovirales,Unassigned,N,lytic,319_0,NA
VIRSorter_NODE_16_length_4196_cov_1_807815-cat_1,Caudovirales,Unassigned,N,lytic,416_0,NA
VIRSorter_NODE_97_length_3688_cov_99_942151-cat_2,Unassigned,Unassigned,N,lytic,890_0,NA
VIRSorter_NODE_69_length_4021_cov_4_100411-cat_2,Unassigned,Unassigned,N,lytic,617_0,Clostridium
VIRSorter_NODE_26_length_9317_cov_101_258215-cat_2,Caudovirales,Siphoviridae,N,lytic,Outlier,NA
VIRSorter_NODE_257_length_3065_cov_6_056704-cat_1,Unassigned,Unassigned,N,lytic,608_0,NA
VIRSorter_NODE_11_length_8090_cov_3_453096-cat_1,Caudovirales,Unassigned,N,lytic,658_0,Clostridium
VIRSorter_NODE_125_length_6042_cov_1_789518-cat_2,Caudovirales,Siphoviridae,N,lytic,Singleton,NA
