Sample,ContigName,RelAbundance,Order,Family,crAssphage,LifeCycle,ViralCluster,CRISPRMatch,Reads
IDT_i5_158,NODE_524_length_3593_cov_4.103731,1.60E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,24
IDT_i5_158,NODE_52_length_4097_cov_3.005443,2.17E-05,Unassigned,Unassigned,N,virulent,1013_0,unknown,39
IDT_i5_158,NODE_51_length_17278_cov_18.152354,2.43E-05,Caudovirales,Siphoviridae,N,temperate,Overlap,Absiella,177
IDT_i5_158,NODE_259_length_3880_cov_34.235294,1.79E-05,Caudovirales,Siphoviridae,N,virulent,733_0,unknown,28
IDT_i5_158,NODE_2_length_98161_cov_224.621664,1.78E-05,Caudovirales,Podoviridae,N,virulent,309_0,unknown,716
IDT_i5_158,NODE_191_length_4835_cov_5.978661,1.92E-05,Caudovirales,Unclassified Caudovirales,N,virulent,230_0,unknown,39
IDT_i5_158,NODE_25_length_14667_cov_4.519436,1.82E-05,Caudovirales,crAss-like phage,Y,virulent,Outlier,unknown,110
IDT_i5_158,NODE_91_length_12839_cov_21.313126,2.09E-05,Caudovirales,Podoviridae,N,virulent,57_0,unknown,115
IDT_i5_158,NODE_93_length_4958_cov_4.556598,2.61E-05,Caudovirales,Siphoviridae,N,virulent,152_0,unknown,56
IDT_i5_158,NODE_83_length_13858_cov_41.572846,1.92E-05,Caudovirales,Myoviridae,N,temperate,297_0,unknown,120
IDT_i5_158,NODE_2_length_98161_cov_90.024851,1.81E-05,Caudovirales,Podoviridae,N,virulent,309_0,unknown,710
IDT_i5_158,NODE_614_length_3237_cov_47.926461,2.99E-05,Unassigned,Unassigned,N,temperate,Outlier,unknown,44
IDT_i5_158,NODE_118_length_10352_cov_5.136156,1.67E-05,Caudovirales,Siphoviridae,N,virulent,Singleton,Pseudoflavonifractor,79
IDT_i5_158,NODE_63_length_3203_cov_9.581321,1.95E-05,Unassigned,crAss-like phage,Y,virulent,1029_0,unknown,26
IDT_i5_158,NODE_111_length_11092_cov_22.771768,2.27E-05,Caudovirales,Unclassified Caudovirales,N,virulent,Outlier,unknown,104
IDT_i5_158,NODE_51_length_10936_cov_6.951751,2.21E-05,Caudovirales,Unclassified Caudovirales,N,virulent,708_0,unknown,101
IDT_i5_158,NODE_18_length_19430_cov_22.081548,2.14E-05,Caudovirales,Siphoviridae,N,virulent,675_0,Bacteroides,174
IDT_i5_158,NODE_7_length_61859_cov_27.665604,1.90E-05,Caudovirales,Podoviridae,N,virulent,309_0,unknown,473
IDT_i5_158,NODE_2_length_56943_cov_16.452855,1.95E-05,Caudovirales,Podoviridae,N,virulent,309_0,unknown,456
IDT_i5_158,NODE_39_length_5773_cov_6.259706,3.08E-05,Caudovirales,Podoviridae,N,virulent,548_0,Erysipelatoclostridium,76
IDT_i5_158,NODE_288_length_3533_cov_3.380104,1.66E-05,Unassigned,Unassigned,N,virulent,694_0,unknown,25
IDT_i5_158,NODE_560_length_3470_cov_5.021083,1.48E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,23
IDT_i5_158,NODE_249_length_4052_cov_5.747060,2.48E-05,Unassigned,Unassigned,N,temperate,Outlier,unknown,47
IDT_i5_158,NODE_144_length_3190_cov_6.896332,1.81E-05,Unassigned,Unassigned,N,temperate,Outlier,unknown,26
IDT_i5_158,NODE_248_length_4055_cov_15.554000,2.82E-05,Unassigned,Unassigned,N,virulent,1010_0,Bacteroides,55
IDT_i5_158,NODE_315_length_3211_cov_3.024715,1.33E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,18
IDT_i5_158,NODE_65_length_6685_cov_3.433484,1.63E-05,Unassigned,Unassigned,N,virulent,695_0,unknown,45
IDT_i5_158,NODE_34_length_23513_cov_15.254412,2.26E-05,Caudovirales,Myoviridae,N,virulent,882_0,unknown,214
IDT_i5_158,NODE_47_length_10185_cov_5.109970,2.08E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,90
IDT_i5_158,NODE_37_length_11795_cov_5.454259,2.80E-05,Caudovirales,Unclassified Caudovirales,N,temperate,Outlier,unknown,142
IDT_i5_158,NODE_112_length_6617_cov_3.925632,2.22E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,58
IDT_i5_158,NODE_68_length_9142_cov_5.589083,1.81E-05,Caudovirales,Siphoviridae,N,virulent,985_0,unknown,71
IDT_i5_158,NODE_35_length_23170_cov_15.435518,2.42E-05,Caudovirales,Myoviridae,N,virulent,313_0,Parabacteroides,241
IDT_i5_158,NODE_316_length_5187_cov_8.089244,1.90E-05,Unassigned,Unassigned,N,virulent,Outlier,Porphyromonas,47
IDT_i5_158,NODE_33_length_23556_cov_6.850474,2.53E-05,Caudovirales,Siphoviridae,N,virulent,696_0,Parabacteroides,249
IDT_i5_158,NODE_24_length_7936_cov_21.482299,3.38E-05,Caudovirales,Unclassified Caudovirales,N,virulent,867_0,unknown,108
IDT_i5_158,NODE_140_length_3316_cov_5.015946,2.02E-05,Caudovirales,Siphoviridae,N,temperate,862_0,Bifidobacterium,31
IDT_i5_158,NODE_368_length_4669_cov_3.695275,2.39E-05,Unassigned,Unassigned,N,virulent,Singleton,unknown,48
IDT_i5_158,NODE_514_length_3629_cov_2.883884,2.01E-05,Unassigned,Unassigned,N,virulent,Singleton,unknown,31
IDT_i5_158,NODE_8_length_7654_cov_3.500197,2.39E-05,Unassigned,Unassigned,N,virulent,679_0,unknown,75
IDT_i5_158,NODE_27_length_25288_cov_14.252447,1.81E-05,Caudovirales,Siphoviridae,N,temperate,Overlap,unknown,200
IDT_i5_158,NODE_147_length_3031_cov_3.448589,2.20E-05,Unassigned,Unassigned,N,temperate,Outlier,unknown,32
IDT_i5_158,NODE_50_length_7497_cov_5.259339,2.19E-05,Unassigned,Unassigned,N,virulent,1004_0,unknown,68
IDT_i5_158,NODE_313_length_5211_cov_3.038208,1.58E-05,Caudovirales,Siphoviridae,N,temperate,Singleton,Faecalibacterium,36
IDT_i5_158,NODE_160_length_8148_cov_6.079081,3.21E-05,Caudovirales,Myoviridae,N,virulent,Singleton,unknown,110
IDT_i5_158,NODE_128_length_6303_cov_5.071703,2.93E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,78
IDT_i5_158,NODE_120_length_6231_cov_5.629696,3.57E-05,Caudovirales,Siphoviridae,N,virulent,486_0,Lactococcus,94
IDT_i5_158,NODE_74_length_14476_cov_11.289716,1.94E-05,Caudovirales,Myoviridae,N,virulent,727_0,unknown,114
IDT_i5_158,NODE_11_length_30881_cov_11.789755,2.19E-05,Caudovirales,Podoviridae,N,virulent,309_0,unknown,280
IDT_i5_158,NODE_47_length_7061_cov_7.397802,2.27E-05,Caudovirales,crAss-like phage,Y,virulent,779_0,unknown,66
IDT_i5_158,NODE_54_length_8571_cov_5.844176,2.11E-05,Caudovirales,Unclassified Caudovirales,N,virulent,723_0,unknown,79
IDT_i5_158,NODE_51_length_7401_cov_4.992513,1.98E-05,Caudovirales,crAss-like phage,Y,virulent,Outlier,unknown,61
IDT_i5_158,NODE_4_length_79291_cov_44.127694,2.92E-05,Caudovirales,Myoviridae,N,virulent,Overlap,unknown,942
IDT_i5_158,NODE_128_length_3466_cov_4.032542,2.46E-05,Unassigned,crAss-like phage,Y,virulent,678_0,unknown,35
IDT_i5_158,NODE_17_length_35452_cov_95.594090,2.30E-05,Caudovirales,Siphoviridae,N,temperate,148_0,unknown,351
IDT_i5_158,NODE_416_length_4181_cov_9.483762,2.99E-05,Caudovirales,Siphoviridae,N,virulent,Overlap,unknown,52
IDT_i5_158,NODE_34_length_5311_cov_9.279680,1.95E-05,Caudovirales,Podoviridae,N,virulent,311_0,unknown,43
IDT_i5_158,NODE_17_length_10166_cov_4.939274,3.36E-05,Unassigned,Unassigned,N,virulent,Overlap,unknown,135
IDT_i5_158,NODE_143_length_3189_cov_7.567645,3.62E-05,Unassigned,crAss-like phage,Y,virulent,Outlier,unknown,46
IDT_i5_158,NODE_152_length_5783_cov_3.640538,2.39E-05,Unassigned,Unassigned,N,virulent,Overlap,unknown,61
IDT_i5_158,NODE_6_length_20448_cov_7.623400,2.16E-05,Caudovirales,Podoviridae,N,virulent,1004_0,unknown,180
IDT_i5_158,NODE_109_length_4279_cov_4.471117,2.15E-05,Unassigned,Unassigned,N,virulent,623_0,Bifidobacterium,44
IDT_i5_158,NODE_128_length_9631_cov_17.984649,1.91E-05,Caudovirales,crAss-like phage,Y,virulent,Overlap,unknown,76
IDT_i5_158,NODE_145_length_3115_cov_6.948693,2.19E-05,Unassigned,Unassigned,N,virulent,873_0,unknown,35
IDT_i5_158,NODE_32_length_4154_cov_6.572579,0.000115589,Unassigned,Unassigned,N,virulent,Outlier,unknown,201
IDT_i5_158,NODE_80_length_5781_cov_7.935732,3.10E-05,Unassigned,crAss-like phage,Y,virulent,1029_0,unknown,74
IDT_i5_158,NODE_385_length_4505_cov_19.360899,2.88E-05,Unassigned,Unassigned,N,virulent,892_0,unknown,57
IDT_i5_158,NODE_171_length_5366_cov_9.732066,2.77E-05,Caudovirales,Unclassified Caudovirales,N,temperate,837_0,unknown,63
IDT_i5_158,NODE_42_length_5346_cov_3.957097,3.13E-05,Unassigned,Unassigned,N,virulent,1013_0,unknown,70
IDT_i5_158,NODE_217_length_4481_cov_3.125395,1.98E-05,Unassigned,Unassigned,N,virulent,623_0,Bifidobacterium,38
IDT_i5_158,NODE_117_length_4012_cov_5.032600,3.37E-05,Caudovirales,Unclassified Caudovirales,N,virulent,Outlier,unknown,61
IDT_i5_158,NODE_130_length_3585_cov_3.321530,2.46E-05,Caudovirales,Podoviridae,N,virulent,Outlier,unknown,37
IDT_i5_158,NODE_16_length_21840_cov_13.035529,2.46E-05,Caudovirales,Siphoviridae,N,temperate,Outlier,unknown,230
IDT_i5_158,NODE_87_length_5374_cov_5.098703,2.71E-05,Caudovirales,Siphoviridae,N,virulent,985_0,unknown,60
IDT_i5_158,NODE_113_length_10760_cov_17.738347,2.23E-05,Caudovirales,Siphoviridae,N,virulent,723_0,Odoribacter,102
IDT_i5_158,NODE_453_length_3929_cov_7.127001,1.98E-05,Unassigned,Unassigned,N,virulent,Outlier,Parabacteroides,37
IDT_i5_158,NODE_169_length_5447_cov_9.710312,3.32E-05,Unassigned,Unassigned,N,virulent,Overlap,Bacteroides,76
IDT_i5_158,NODE_65_length_9538_cov_5.443847,3.81E-05,Unassigned,Unassigned,N,virulent,Overlap,unknown,151
IDT_i5_158,NODE_35_length_3663_cov_3.578991,5.69E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,84
IDT_i5_158,NODE_9_length_16018_cov_7.041909,2.78E-05,Caudovirales,Podoviridae,N,virulent,Outlier,unknown,180
IDT_i5_158,NODE_145_length_3304_cov_2.840259,2.61E-05,Unassigned,Unassigned,N,virulent,Outlier,Bacteroides,37
IDT_i5_158,NODE_201_length_4663_cov_5.351128,2.86E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,60
IDT_i5_158,NODE_110_length_4219_cov_6.051633,3.16E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,59
IDT_i5_158,NODE_36_length_8255_cov_69.142195,0.000132137,Caudovirales,Myoviridae,N,virulent,Outlier,unknown,450
IDT_i5_158,NODE_113_length_6415_cov_5.910063,0.000178823,Caudovirales,Unclassified Caudovirales,N,virulent,Overlap,unknown,469
IDT_i5_158,NODE_102_length_4451_cov_10.791401,3.09E-05,Caudovirales,Podoviridae,N,virulent,Outlier,Erysipelatoclostridium,57
