ContigName,Order,Family,crAssphage,LifeCycle,ViralCluster,CRISPRHost
NODE_359_length_4750_cov_5.736315,Caudovirales,Siphoviridae,N,lysogenic,1042_0,unknown
NODE_66_length_5969_cov_19.896009,Caudovirales,Unassigned,N,lysogenic,Singleton,unknown
NODE_173_length_7716_cov_115.304399,Caudovirales,Siphoviridae,N,lysogenic,862_0,Bifidobacterium
NODE_46_length_9655_cov_4.640833,Caudovirales,Siphoviridae,N,lysogenic,837_0,unknown
NODE_80_length_5311_cov_5.145928,Unassigned,Unassigned,N,lysogenic,629_0,Bacteroides
NODE_67_length_9129_cov_7.269561,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_50_length_8959_cov_5.091532,Caudovirales,Unassigned,N,lysogenic,Outlier,unknown
NODE_124_length_5873_cov_12.553799,Caudovirales,Unassigned,N,lysogenic,231_0,unknown
NODE_52_length_3264_cov_4.244313,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_50_length_7291_cov_6.354478,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_13_length_26099_cov_44.439449,Caudovirales,Siphoviridae,N,lysogenic,723_0,Bacteroides
NODE_375_length_4598_cov_4.136474,Caudovirales,Unassigned,N,lysogenic,Singleton,unknown
NODE_140_length_6075_cov_5.482060,Caudovirales,Siphoviridae,N,lysogenic,345_0,unknown
NODE_23_length_7506_cov_4.586230,Caudovirales,Siphoviridae,N,lysogenic,559_0,Erysipelatoclostridium
NODE_81_length_3114_cov_3.924158,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_95_length_3507_cov_3.400348,Unassigned,Unassigned,N,lysogenic,Singleton,Flavonifractor
NODE_121_length_6738_cov_19.427203,Unassigned,Unassigned,N,lysogenic,Overlap,unknown
NODE_58_length_6912_cov_5.063876,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Clostridium
NODE_59_length_7532_cov_5.395346,Caudovirales,Siphoviridae,N,lysogenic,1057_0,Bifidobacterium
NODE_5_length_16390_cov_9.789409,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Enterocloster
NODE_142_length_4020_cov_8.373518,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_74_length_5063_cov_6.420128,Unassigned,Unassigned,N,lysogenic,1063_0,Parabacteroides
NODE_5_length_55058_cov_19.332927,Caudovirales,Siphoviridae,N,lysogenic,634_0,Ruthenibacterium
NODE_77_length_6515_cov_11.040867,Unassigned,Unassigned,N,lysogenic,426_0,Bacteroides
NODE_47_length_3177_cov_3.591608,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_144_length_3190_cov_6.896332,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_136_length_9373_cov_17.771947,Unassigned,Unassigned,N,lysogenic,837_0,unknown
NODE_215_length_3342_cov_8.177670,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_18_length_35555_cov_180.087577,Caudovirales,Siphoviridae,N,lysogenic,292_0,unknown
NODE_270_length_5679_cov_4.663407,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_30_length_15060_cov_9.489437,Unassigned,Unassigned,N,lysogenic,1031_0,unknown
NODE_52_length_7191_cov_5.227719,Caudovirales,Unassigned,N,lysogenic,Singleton,unknown
NODE_26_length_8648_cov_8.089026,Caudovirales,Siphoviridae,N,lysogenic,749_0,Enterocloster
NODE_34_length_12773_cov_10.025476,Caudovirales,Siphoviridae,N,lysogenic,515_0,unknown
NODE_31_length_17066_cov_7.471930,Caudovirales,Siphoviridae,N,lysogenic,862_0,Bifidobacterium
NODE_38_length_8172_cov_9.395836,Unassigned,Unassigned,N,lysogenic,970_0,Bacteroides
NODE_88_length_7912_cov_6.053201,Caudovirales,Siphoviridae,N,lysogenic,1042_0,unknown
NODE_82_length_3258_cov_5.736497,Unassigned,Unassigned,N,lysogenic,639_0,unknown
NODE_509_length_3640_cov_5.849651,Unassigned,Unassigned,N,lysogenic,1031_0,unknown
NODE_77_length_4918_cov_3.503393,Caudovirales,Siphoviridae,N,lysogenic,749_0,unknown
NODE_511_length_3634_cov_3.132160,Unassigned,Unassigned,N,lysogenic,Outlier,Pseudoflavonifractor
NODE_18_length_13061_cov_12.234968,Caudovirales,Unassigned,N,lysogenic,Singleton,unknown
NODE_14_length_10278_cov_6.191627,Caudovirales,Unassigned,N,lysogenic,231_0,unknown
NODE_9_length_5326_cov_162.413015,Unassigned,Unassigned,N,lysogenic,639_0,unknown
NODE_13_length_43383_cov_69.235183,Caudovirales,Siphoviridae,N,lysogenic,205_0,Prevotella
NODE_9_length_28700_cov_10.567115,Caudovirales,Siphoviridae,N,lysogenic,564_0,Bacteroides
NODE_171_length_5366_cov_9.732066,Caudovirales,Unassigned,N,lysogenic,837_0,unknown
NODE_17_length_10685_cov_6.866228,Caudovirales,Siphoviridae,N,lysogenic,184_0,Hungatella
NODE_26_length_6702_cov_23.542350,Unassigned,Unassigned,N,lysogenic,639_0,unknown
NODE_116_length_3384_cov_124.530189,Caudovirales,Unassigned,N,lysogenic,742_0,unknown
NODE_42_length_16545_cov_5.148090,Caudovirales,Siphoviridae,N,lysogenic,Singleton,Oscillibacter
NODE_97_length_3339_cov_20.236297,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_84_length_11085_cov_44.623391,Caudovirales,Siphoviridae,N,lysogenic,Singleton,Prevotella
NODE_69_length_5151_cov_7.498234,Caudovirales,Unassigned,N,lysogenic,1065_0,unknown
NODE_16_length_38395_cov_13.439358,Caudovirales,Siphoviridae,N,lysogenic,555_0,Blautia
NODE_41_length_4290_cov_4.969776,Caudovirales,Siphoviridae,N,lysogenic,559_0,Erysipelatoclostridium
NODE_205_length_3190_cov_2.555343,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_60_length_6845_cov_8.797054,Caudovirales,Unassigned,N,lysogenic,420_0,unknown
NODE_21_length_7057_cov_4.775493,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_18_length_5219_cov_3.397947,Unassigned,Unassigned,N,lysogenic,639_0,unknown
NODE_3_length_20576_cov_14.644559,Caudovirales,Siphoviridae,N,lysogenic,184_0,Hungatella
NODE_116_length_10671_cov_4.387434,Caudovirales,Myoviridae,N,lysogenic,Singleton,unknown
NODE_6_length_67110_cov_45.497711,Caudovirales,Siphoviridae,N,lysogenic,Outlier,unknown
